full_name,html_url,stargazers_count,language
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,415345,TypeScript
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,368384,Markdown
sindresorhus/awesome,https://github.com/sindresorhus/awesome,354762,
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,354470,HTML
public-apis/public-apis,https://github.com/public-apis/public-apis,334979,Python
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,313998,
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,313193,TypeScript
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,295538,Python
996icu/996.ICU,https://github.com/996icu/996.ICU,270490,
vinta/awesome-python,https://github.com/vinta/awesome-python,239384,Python
facebook/react,https://github.com/facebook/react,234179,JavaScript
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,223520,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,223422,
vuejs/vue,https://github.com/vuejs/vue,208660,TypeScript
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,199146,Python
torvalds/linux,https://github.com/torvalds/linux,191006,C
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190852,JavaScript
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,189197,C++
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,181626,
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,179653,
ossu/computer-science,https://github.com/ossu/computer-science,177841,HTML
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,177399,Shell
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,174192,Python
twbs/bootstrap,https://github.com/twbs/bootstrap,171961,JavaScript
microsoft/vscode,https://github.com/microsoft/vscode,169579,TypeScript
flutter/flutter,https://github.com/flutter/flutter,169571,Dart
github/gitignore,https://github.com/github/gitignore,165509,
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,163547,Jupyter Notebook
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,162463,
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,155431,
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,150710,Python
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,149045,Java
airbnb/javascript,https://github.com/airbnb/javascript,146473,JavaScript
huggingface/transformers,https://github.com/huggingface/transformers,142463,Python
avelino/awesome-go,https://github.com/avelino/awesome-go,141255,Go
ollama/ollama,https://github.com/ollama/ollama,136094,Go
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,134979,Python
vercel/next.js,https://github.com/vercel/next.js,130838,JavaScript
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,129575,Batchfile
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,127465,Markdown
golang/go,https://github.com/golang/go,126991,Go
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,124993,TypeScript
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123289,JavaScript
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,122598,JavaScript
facebook/react-native,https://github.com/facebook/react-native,121389,C++
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,120157,C
microsoft/PowerToys,https://github.com/microsoft/PowerToys,116983,C#
electron/electron,https://github.com/electron/electron,116226,C++
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,114187,Go
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113255,
krahets/hello-algo,https://github.com/krahets/hello-algo,111279,Java
nodejs/node,https://github.com/nodejs/node,110473,JavaScript
d3/d3,https://github.com/d3/d3,110270,Shell
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,106663,Python
axios/axios,https://github.com/axios/axios,106639,JavaScript
mrdoob/three.js,https://github.com/mrdoob/three.js,105501,JavaScript
langchain-ai/langchain,https://github.com/langchain-ai/langchain,105022,Jupyter Notebook
microsoft/TypeScript,https://github.com/microsoft/TypeScript,103855,TypeScript
facebook/create-react-app,https://github.com/facebook/create-react-app,103133,JavaScript
rust-lang/rust,https://github.com/rust-lang/rust,102503,Rust
denoland/deno,https://github.com/denoland/deno,102483,Rust
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,102254,Dockerfile
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,100855,Python
microsoft/terminal,https://github.com/microsoft/terminal,97609,C++
angular/angular,https://github.com/angular/angular,97426,TypeScript
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,96654,TypeScript
godotengine/godot,https://github.com/godotengine/godot,95842,C++
mui/material-ui,https://github.com/mui/material-ui,95270,TypeScript
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,95087,Python
ant-design/ant-design,https://github.com/ant-design/ant-design,94166,TypeScript
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,93341,HTML
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,92737,JavaScript
fatedier/frp,https://github.com/fatedier/frp,92294,Go
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,92163,Shell
iptv-org/iptv,https://github.com/iptv-org/iptv,91899,TypeScript
nvbn/thefuck,https://github.com/nvbn/thefuck,91324,Python
tauri-apps/tauri,https://github.com/tauri-apps/tauri,91202,Rust
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,91193,Java
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,90921,
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,90273,TypeScript
langgenius/dify,https://github.com/langgenius/dify,89407,TypeScript
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,89061,Vue
pytorch/pytorch,https://github.com/pytorch/pytorch,88669,Python
neovim/neovim,https://github.com/neovim/neovim,88397,Vim Script
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,88077,
open-webui/open-webui,https://github.com/open-webui/open-webui,87765,JavaScript
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,87139,JavaScript
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,86908,TypeScript
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,86779,
storybookjs/storybook,https://github.com/storybookjs/storybook,86301,TypeScript
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,86208,Rust
shadcn-ui/ui,https://github.com/shadcn-ui/ui,84789,TypeScript
nvm-sh/nvm,https://github.com/nvm-sh/nvm,83730,Shell
django/django,https://github.com/django/django,83044,Python
fastapi/fastapi,https://github.com/fastapi/fastapi,82908,Python
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,82826,
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,82772,C++
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,82490,TypeScript
sveltejs/svelte,https://github.com/sveltejs/svelte,82114,JavaScript
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,81694,JavaScript
opencv/opencv,https://github.com/opencv/opencv,81519,C++
animate-css/animate.css,https://github.com/animate-css/animate.css,81515,CSS
gothinkster/realworld,https://github.com/gothinkster/realworld,81400,TypeScript
gin-gonic/gin,https://github.com/gin-gonic/gin,81320,Go
laravel/laravel,https://github.com/laravel/laravel,80493,Blade
supabase/supabase,https://github.com/supabase/supabase,80401,TypeScript
macrozheng/mall,https://github.com/macrozheng/mall,79763,Java
openai/whisper,https://github.com/openai/whisper,79450,Python
gohugoio/hugo,https://github.com/gohugoio/hugo,79270,Go
tonsky/FiraCode,https://github.com/tonsky/FiraCode,78618,Clojure
home-assistant/core,https://github.com/home-assistant/core,77875,Python
